date, pm25
2023/10/1, 39
2023/10/2, 34
2023/10/3, 57
2023/10/4, 66
2023/10/5, 70
2023/10/6, 54
2023/10/7, 43
2023/10/8, 42
2023/10/9, 51
2023/10/10, 55
2023/10/11, 77
2023/10/12, 76
2023/10/13, 67
2023/10/14, 56
2023/10/15, 68
2023/10/16, 78
2023/10/17, 76
2023/10/18, 66
2023/10/19, 54
2023/10/20, 34
2023/10/21, 30
2023/10/22, 85
2023/10/23, 104
2023/10/24, 35
2023/10/25, 31
2023/10/26, 37
2023/10/27, 53
2023/10/29, 51
2023/10/30, 48
2023/10/31, 37
2023/11/1, 32
2023/11/2, 37
2023/11/3, 40
2023/11/4, 36
2023/11/5, 39
2023/11/6, 48
2023/11/7, 36
2023/11/8, 50
2023/11/9, 55
2023/11/10, 41
2023/11/11, 43
2023/11/12, 36
2023/11/13, 60
2023/11/14, 57
2023/11/15, 59
2023/11/16, 75
2023/11/17, 63
2023/11/18, 74
2023/11/19, 73
2023/11/20, 58
2023/11/21, 49
2023/11/22, 33
2023/11/23, 41
2023/11/24, 31
2023/11/25, 45
2023/11/26, 86
2023/11/27, 64
2023/11/28, 54
2023/11/29, 41
2023/11/30, 77
2023/12/1, 128
2023/12/2, 34
2023/12/3, 54
2023/12/4, 53
2023/12/5, 48
2023/12/6, 58
2023/12/7, 68
2023/12/8, 41
2023/12/9, 29
2023/12/10, 52
2023/12/11, 64
2023/12/12, 59
2023/12/13, 44
2023/12/14, 26
2023/12/15, 31
2023/12/16, 32
2023/12/17, 44
2023/12/18, 53
2023/12/19, 48
2023/12/20, 54
2023/12/21, 59
2023/12/22, 50
2023/12/23, 73
2023/12/24, 107
2023/12/25, 122
2023/12/26, 142
2023/12/27, 141
2023/12/28, 127
2023/12/29, 105
2023/12/30, 104
2023/12/31, 86
2023/7/1, 48
2023/7/2, 38
2023/7/3, 36
2023/7/4, 39
2023/7/5, 55
2023/7/6, 45
2023/7/7, 53
2023/7/8, 42
2023/7/9, 57
2023/7/10, 74
2023/7/12, 112
2023/7/13, 80
2023/7/14, 57
2023/7/15, 66
2023/7/16, 66
2023/7/17, 65
2023/7/18, 83
2023/7/19, 81
2023/7/20, 105
2023/7/21, 99
2023/7/22, 59
2023/7/23, 87
